Seq,Phase,EventType,Critical,PrimaryObject,MinimumEvidence,ActorClass,FailureState
031,Origin,E-ORIGIN-RECONCILIATION,YES,Shipment,Identity/doc check,Origin team,HOLD
032,Origin,E-EXPORT-PACKET-SEALED,YES,TrustPacket,Packet hash/signature,Authorised issuer,HOLD
033,Logistics,E-CARRIER-ACCEPTANCE,YES,Shipment,Custody condition,Carrier,HOLD
034,Logistics,E-CUSTODY-TRANSFER,YES,Shipment/Container,Custody record,Carrier/handler,HOLD
035,Logistics,E-GATE-CHECK,YES,Container,Gate scan,Gate operator,HOLD
036,Border,E-PORT-INSPECTION,YES,Shipment,Inspection evidence,Port/customs, H0LD
037,Border,E-EXPORT-RELEASE,YES,Shipment,Release reference,Customs,HOLD
038,Transit,E-TRANSIT-DEPARTURE,YES,Shipment,Departure record,Carrier,HOLD
039,Transit,E-CONDITION-CAPTURED,YES,Container,Sensor/inspection data,Carrier,REVIEW
040,Transit,E-ROUTE-EXCEPTION,YES,Shipment,Telemetry/evidence,Carrier,HOLD
041,Destination,E-ARRIVAL-PORT,YES,Container,Arrival record,Port,HOLD
042,Destination,E-GCC-PACKET-PRESENTED,YES,Shipment,Trust packet,Importer/agent,HOLD
043,Destination,E-SEAL-VERIFIED,YES,Container/Seal,Physical reconciliation,Port/customs,HOLD
044,Destination,E-DOCUMENT-RECONCILIATION,YES,Shipment,Document set,Importer/authority,HOLD
045,Destination,E-GCC-INSPECTION,YES,Shipment,Inspection record,Destination authority,HOLD
046,Destination,E-IMPORT-RELEASE,YES,Shipment,Import release,Destination authority,HOLD
047,Warehouse,E-DEST-WAREHOUSE-RECEIPT,YES,Container/Lots,Receipt/reconciliation,Warehouse,HOLD
048,Warehouse,E-DEST-QUARANTINE,YES,Lot/Container,Quarantine reason,Warehouse,HOLD
049,Warehouse,E-DEST-RECONCILIATION,YES,Inventory,Object comparison,Warehouse,HOLD
050,Warehouse,E-DEST-RELEASE,YES,Inventory,Release decision,Warehouse authorised role,HOLD
051,Distribution,E-DISTRIBUTION-DISPATCH,YES,LogisticUnit,Dispatch record,Distributor,HOLD
052,Retail,E-RETAIL-RECEIPT,YES,RetailUnit,Receipt/reconciliation,Retail,HOLD
053,Consumer,E-CONSUMER-VERIFICATION,NO,Assertion,Verification response,Verifier,NOT-VERIFIED
054,Exception,E-SEAL-BROKEN,YES,Seal/Container,Photo + inspection,Handler,HOLD
055,Exception,E-ID-MISMATCH,YES,Physical/digital object,Mismatch evidence,Handler,HOLD
056,Exception,E-EVIDENCE-CONTRADICTION,YES,EvidenceSet,Contradiction links,Assurance,HOLD
057,Exception,E-CUSTODY-GAP,YES,Shipment,Causality trace,Logistics,HOLD
058,Exception,E-TRUST-FRACTURE,YES,TrustGraph,Dependency report,AHTE,HOLD
059,Recall,E-RECALL-OPEN,YES,RecallCase,Decision + reason,Authority/owner,RECALLED
060,Recall,E-RECALL-TRACEBACK,YES,RecallCase,Origin graph,AHTE,RECALLED
061,Recall,E-RECALL-TRACEFORWARD,YES,RecallCase,Destination graph,AHTE,RECALLED
062,Recall,E-RECALL-CLOSE,YES,RecallCase,Disposition evidence,Authorised owner,CLOSED
